1,国家大剧院,86,89,90,82,88,50,蛋壳，文化地标,1
2,中国科技馆,85,80,85,79,75,55,科普，互动体验,2
3,北京欢乐谷,79,85,92,80,68,60,游乐园，刺激娱乐,3
4,南海子公园,75,77,60,85,70,90,湿地公园，环境保护,4
5,玉渊潭公园,80,81,80,77,72,85,赏花，城市绿肺,5
6,北京植物园,78,82,81,80,74,92,植物收藏，自然教育,6
7,戒台寺,70,74,65,72,85,75,古寺，登高望远,7
8,北海公园,88,86,87,83,90,78,皇家园林,8
9,北京汽车博物馆,74,76,68,71,65,55,展览,9
10,长城,90,92,98,85,95,75,万里长城，世界奇观,10
11,十三陵水库,65,70,61,74,62,87,滨水，历史区域,11
12,中国航空博物馆,72,75,70,73,69,58,飞行器,12
13,北京国际雕塑公园,78,79,75,76,70,80,艺术，户外展览,13
14,凤凰岭自然公园,71,73,66,75,66,90,登山，野生动植物,14
15,初心博物馆,69,65,59,78,72,50,美术，现代艺术,15
16,北京世界公园,82,80,84,79,81,73,世界建筑，教育游乐,16
17,望京公园,64,67,60,65,60,87,城市公园，湖泊,17
18,宋庄艺术区,70,73,71,74,80,42,艺术家，画廊,18
19,三里屯,85,87,95,70,80,50,购物，餐饮，夜生活,19
20,南锣鼓巷,80,85,90,75,90,60,文化，购物，美食,20
21,中央电视塔,70,80,75,80,65,70,地标，视野，科技,21
22,前门大街,75,80,85,70,85,55,历史，购物，传统小吃,22
23,东单,80,80,90,65,70,50,购物，交通枢纽,23
24,西单,80,79,90,65,70,50,购物，文化娱乐,24
25,五道口,75,75,80,80,75,50,学生区，购物，美食,25
26,中国人民革命军事博物馆,70,85,80,85,85,55,历史，军事，教育,26
27,魏公村小学,76,75,58,74,71,40,示范小学，创新教育,27
28,北京茶叶博物馆,75,77,65,76,80,50,茶文化，品茶体验,28
29,元大都城垣遗址公园,72,74,67,71,77,84,历史，元朝遗迹,29
30,北京国安足球俱乐部训练基地,69,72,75,68,65,40,国安俱乐部，足球青训,30
31,香山公园,85,88,89,84,82,91,红叶，秋季游,31
32,中国国家图书馆,90,91,88,87,92,45,藏书，学术资源,32
33,黑芝麻胡同,70,76,80,65,82,43,老北京，文化探索,33
34,北京市规划展览馆,78,76,72,74,79,40,城市发展，教育,34
35,北京金融街,77,80,74,69,73,38,经济中心,35
36,北京动物园海洋馆,82,80,85,78,72,67,水族馆，海洋生物,36
37,中信国安足球场,75,78,79,72,70,55,体育赛事,37
38,西单文化广场,73,74,88,70,75,40,购物，娱乐活动,38
39,北京798文创园,77,75,85,76,72,50,艺术工作室,39
40,翠湖国家城市湿地公园,67,69,59,70,60,89,生态保护,40
41,北京现代音乐研究院,78,81,65,79,83,50,音乐学院，音乐创新,41
42,北京展览馆,80,82,77,81,79,52,展销，历史馆,42
43,潭柘寺,75,77,70,73,81,76,佛教，山景,43
44,北京植物园花卉展馆,72,74,66,74,70,80,花展，园艺,44
45,森林公园,68,71,63,69,65,87,自然走道，野生动物,45
46,北京传媒大学,76,78,57,74,73,50,传媒教育，北传,46
47,五棵松体育馆,77,75,82,70,71,48,体育赛事，文化活动,47
48,798艺术区,80,82,90,77,85,55,当代艺术，文化聚集,48
49,世界花卉大观园,83,85,88,81,80,92,植物园，花卉展览,49
50,中关村科技园,78,79,80,76,73,50,创新，科技企业,50
51,中国农业博物馆,74,77,71,78,76,54,农博，农业历史，科普,51
52,北京奥林匹克公园,87,88,95,86,83,60,奥运，体育,52
53,北京城市学院,78,75,69,80,73,44,北城，高等教育，城市研究,53
54,颐和园,92,93,99,89,91,85,皇家园林，历史遗迹，颐园,54
55,北京国际会议中心,80,84,83,78,79,40,商务活动,55
56,北京邮电大学,77,80,72,81,75,45,信息技术，通信学，北邮,56
57,后海公园,84,82,90,75,87,73,湖泊，夜生活，什刹海,57
58,故宫博物院,95,96,100,90,99,70,皇家宫殿，文化瑰宝，紫禁城,58
59,清华大学,91,93,76,88,95,55,高等学府，科研,59
60,北京科技大学,79,81,68,84,78,48,北科，工程技术，教育,60
61,北京中医药大学,76,78,70,82,77,43,北中医，医学教育,61
62,中国人民大学,84,86,73,85,89,45,人大，社会科学，法律,62
63,北京工商大学,74,76,69,77,70,40,北工商，商学院，经济管理,63
64,北京师范大学,85,87,75,86,90,50,北师，教师教育，心理学,64
65,北京理工大学,81,83,70,82,80,47,北理，工程，军事技术,65
66,天坛公园,90,92,95,88,94,65,祭天，皇家建筑,66
67,鼓楼公园,78,80,85,75,82,55,历史，钟鼓楼,67
68,北京体育大学,72,74,70,70,68,50,北体，体育教育，运动训练,68
69,首都师范大学,79,81,65,80,77,45,首师大，教育科学，师范,69
70,北京现代职业技术学院,73,75,70,76,69,40,职业教育，技术训练,70
71,北京市第二外国语学院,74,77,64,78,75,43,北二外，外语教育，国际文化,71
72,中国音乐学院,79,81,67,83,82,50,中音，音乐艺术，表演教育,72
73,北京联合大学,75,77,62,79,70,46,北联，综合大学，专业多样性,73
74,北京农学院,72,74,60,78,70,58,北农，农业教育，生物技术,74
75,北京电影学院,83,85,72,84,88,50,北影，电影制作，艺术教育,75
76,北京中医药大学东直门医院,70,73,69,75,68,40,医疗服务,76
77,朝阳公园,77,78,84,73,70,87,城市绿地，户外活动,77
78,北京市万芳亭公园,68,70,75,67,65,85,历史建筑，休闲场所,78
79,紫竹院公园,82,83,81,80,78,90,文化遗址，湿地生态,79
80,首都博物馆,88,90,88,85,90,50,历史，文化艺术,80
81,北京园博园,80,82,79,78,76,88,园艺展览，生态环境,81
82,毛主席纪念堂,87,89,95,82,91,45,历史，革命,82
83,北京大学,92,94,75,89,93,54,高等学府，研究型大学，北大，燕园,83
84,北京市朝阳实验小学,76,78,70,75,72,50,教育，初级学校,84
85,北京市人民政府,78,80,85,74,76,40,政府机关，行政中心,85
86,北京友谊医院,74,76,78,71,70,42,医疗服务，综合医院,86
87,北京航空航天大学,82,84,70,83,81,47,北航，工程学科，航空航天技术,87
88,北京服装学院,75,77,62,78,74,45,时尚教育，设计艺术,88
89,北京市第八中学,77,79,67,80,75,50,中学教育，学术氛围,89
90,北京市回民学校,69,71,55,72,68,40,特色小学，民族教育,90
91,北京语言大学,81,83,65,84,79,43,外国语，跨文化交流,91
92,北京第四中学,79,81,74,83,77,50,公立高中，教学质量,92
93,北京理工大学附属中学,76,78,60,77,72,48,中学教育，科学教育,93
94,北京的中华世纪坛,82,85,83,80,84,52,文化活动，展览场所,94
95,中国石油大学（北京）,74,76,63,72,70,45,中石油，能源研究，工程技术,95
